title,text,tegs,url
Sinoptik: У п’ятницю 1 грудня на Черкащині очікується сильний дощ," 1 грудня в Черкаські області буде триматися хмарна погода. У Черкасах, Золотоноші, Каневі, Чорнобаї, Драбові, Корсуні-Шевченківському, Катеринополі, Умані, Шполі, Звенигородці протягом усього дня буде триматися хмарна погода. Протягом усього дня очікується сильний дощ. Синоптики попереджають про посилення швидкості вітру до 15-24 м/с. Читайте: У дорожній пастці: ожеледиця паралізувала рух транспорту на Черкащині (ФОТО) Температура повітря вночі +6… +7 градуси, удень стовпчики термометрів піднімуться до +8…+9 градусів. Вітер південний, південно-східний 3–9 м/с. Як повідомляв сайт vikka.ua, синоптики розповіли, яким буде грудень на Черкащині.","#Вікка, #Новини, #Черкащина, #Погода",https://www.vikka.ua/novini/sinoptik-u-pyatnicyu-1-grudnya-na-cherkashhini-ochikuyetsya-silnij-doshh/
П’яний водій у Черкасах влетів у металевий стовп (ФОТО)," У Черкасах на перехресті вулиць Одеської та Сумгаїтської сталась ДТП з постраждалими. Про це на сторінці у Facebook повідомляє прес-служба патрульної поліції Черкас. Читайте: У дорожній пастці: ожеледиця паралізувала рух транспорту на Черкащині (ФОТО) За інформацією оперативників, водій автомобіля Volkswagen, будучи в стані алкогольного сп’яніння, не впорався з керуванням. Внаслідок чого він на своєму автомобілі в’їхав у металевий стовп вуличного освітлення. Під час ДТП в автівці перебувала пасажирка, яка отримала травмування спини. Її було госпіталізовано до третьої міської лікарні. За результатами тесту, що провели водію в Черкаському наркодиспансері, вміст алкоголю в організмі водія перевищував допустиму норму в вісім разів (1,6 проміле). На водія правоохоронці склали адміністративні матеріали за ч.1 ст.130 та викликали слідчого у справах ДТП з постраждалими.  Як повідомляв сайт vikka.ua, на Черкащині через жахливу ДТП двоє водіїв потрапили до лікарні.","#Черкаси, #Вікка, #Новини, #Аварія, дтп",https://www.vikka.ua/novini/pyanij-vodij-u-cherkasax-vletiv-u-metalevij-stovp-foto/
"Із грудня ""Черкасиводоканал"" обслуговуватиме за новими тарифами (ВІДЕО)","""Черкасиводоканал"" знизив ціни на централізоване постачання холодної води та водовідведення. Із чинних цьогорічних тарифів виключили витрати на періодичну повірку, обслуговування та ремонт квартирних засобів обліку спожитої рідини. Так, за водопостачання сума знизилася на 18 копійок, за водовідведення – на 13 копійок за квадратний метр.","#Кп ""черкасиводоканал"", #Тарифи, #Вода, #Гаряча вода",https://www.vikka.ua/novini-na-vikka/vikka-novini/iz-grudnya-cherkasivodokanal-obslugovuvatime-za-novimi-tarifami-video/
На Черкащині поліція розшукала понад 200 зниклих безвісти дітей," Протягом 10 місяців 2017 року в Єдиному обліку матеріалів, що надійшли до відділів та відділень ГУНП в Черкаській області зареєстровано 214 малолітніх та неповнолітніх дітей, які вважаються безвісті зниклими. Серед них 125 з міста Черкаси. Про це сайту vikka.ua повідомив т.в.о. заступника начальника Головного управління Нацполіції в Черкаській області Сергій Ждан. Читайте: На Черкащині зник 16-річний хлопець Протягом доби в області правоохоронці розшукали 190 дітей, з міста Черкаси зареєстровано 118 випадків. Більше однієї доби шукали 23 дитини, 7 з яких були з Черкас. ""Часто буває так, що дитина затримується, у неї сів телефон, а номер мобільного телефону батьків вона не пам’ятає. Підлітки іноді не стежать за часом і можуть до ранку розважатися, поки батьки не знаходять собі місця"", − зазначив Сергій Ждан. Він зауважив, що найчастіше працівники поліції знаходять дітей за місцем проживання їх друзів, близьких родичів або у розважальних центрах. Як повідомляв сайт vikka.ua, за серпень на Черкащині зникло чотири дитини.","#Вікка, #Новини, #Черкащина, #Розшук",https://www.vikka.ua/novini/na-cherkashhini-policiya-rozshukala-ponad-200-zniklix-bezvisti-ditej/
Волонтери запрошують черкащан безкоштовно тестуватися на ВІЛ (ВІДЕО),"Безкоштовне тестування на ВІЛ запрошують пройти черкащан волонтери. Імпровізовану лабораторію вже цієї п’ятниці, першого грудня, вони розгорнуть в одному з найбільших торговельних центрів міста. Благодійну акцію присвячують Дню боротьби з ВІЛСНІДом. Тестування розпочнеться о 17-ій і триватиме дві години. Цього ж дня, активісти запрошують містян на відкриття першого меморіалу пам’яті черкащанам, які не побороли цей недуг.","#Волонтерство, #Тестування, #Віл-інфіковані, #Волонтери",https://www.vikka.ua/novini-na-vikka/vikka-novini/volonteri-zaproshuyut-cherkashhan-bezkoshtovno-testuvatisya-na-vil-video/
"Черкаські патрульні проінспектували пункти прийому металу з ""люкового"" питання (ВІДЕО)","Нічийний люк. Черкаські комунальники за тиждень після колодязної загибелі шестирічного хлопчика досі не можуть з’ясувати, кому належить каналізаційна конструкція. Крадії поцупили кришку і здали як брухт задля вигоди. Поки владці шукають варіанти запобігання люковим крадіжкам, черкаські патрульні вирішили проінспектувати пункти прийому металу. Результати – дивіться у сюжеті.","#Інспеція, #Поліція, #Каналізація, #Люки",https://www.vikka.ua/novini-na-vikka/vikka-novini/cherkaski-patrulni-proinspektuvali-punkti-prijomu-metalu-z-lyukovogo-pitannya-video/
ТОП-5 розчарувань листопада на Черкащині (ВІДЕО),"Ринки із керівником без досвіду, п’яний екоінспектор та ремонт дороги, через який загинув пенсіонер. Ці події, а ще – пліснявий ремонт та смілянські проблеми наша Яна Федоровська визначила найбільшими розчаруваннями листопада. Коротко згадаємо їх у черговій ТОПовій добірці.","#Ремонт дороги, #Ремонт, #Нещасний випадок, #Топ-5",https://www.vikka.ua/novini-na-vikka/vikka-novini/top-5-rozcharuvan-listopada-na-cherkashhini-video/
Посадовця одного з управлінь Черкаської ОДА обвинувачують у привласненні понад двох мільйонів гривень," 27 листопада до суду направили обвинувачення відносно службової особи Управління виробничо-технічного та кошторисно-договірного супроводу будівництва Департаменту капітального будівництва Черкаської ОДА. Про це повідомляє прес-служба УЗЕ в Черкаській області ДЗЕ НП України. Читайте: Директора комерційної компанії на Черкащині підозрюють у привласненні майже 5 мільйонів гривень Посадовець, зловживаючи своїм службовим становищем, вніс неправдиві відомості у звітну документацію і заволодів бюджетними коштами на користь приватної юридичної особи в сумі понад 2,1 млн. грн., що були виділені на проведення ремонтних робіт очисних споруд у Золотоноші. Цим спричинила шкоду інтересам держави та державному бюджету на вищевказану суму. Як повідомляв сайт vikka.ua, начальника одного з управлінь Черкаської ОДА звинувачують у розтраті бюджетних коштів.","#Черкаси, #Вікка, #Новини, #Ода",https://www.vikka.ua/novini/posadovcya-odnogo-z-upravlin-cherkasko%d1%97-oda-obvinuvachuyut-u-privlasnenni-ponad-dvox-miljoniv-griven/
Черкащанин через сварку з матір’ю хотів стрибнути з восьмого поверху (ВІДЕО)," До Черкаського відділку поліції зателефонувала місцева жителька. Вона повідомила, що її син хоче звести рахунки із життям, стрибнувши з вікна восьмого поверху. Про це на сторінці у Facebook повідомила прес-служба патрульної поліції. Читайте: Міст кохання і смерті: за останні роки у Черкасах збільшилась кількість самогубств Патрульні, які прибули на місце виклику, намагалися відмовити чоловіка від такого вчинку, але він знаходився в стані алкогольного сп`яніння і не реагував на слова правоохоронців. Протягом 40 хвилин черкащанина вмовляли злізти з вікна, розповідали про можливі наслідки витівки. Потім запропонували цигарку, а коли той погодився підпустити до себе патрульну, вона знову почала переконувати словами. Зрештою чоловік відгукнувся і зліз з підвіконня.  Черкащанин розповів, що хотів померти через те, що він посварився з матір’ю та через алкогольну залежнусть. Медики оглянули чоловіка та доставили його до психіатричної лікарні де врятований погодився на шпиталізацію.  Як повідомляв сайт vikka.ua, під час водного полювання на Черкащині загинув водолаз.","#Черкаси, #Вікка, #Новини, #Самогубство",https://www.vikka.ua/novini/cherkashhanin-cherez-svarku-z-matiryu-xotiv-stribnuti-z-vosmogo-poverxu-video/
Власника незаконного МАФу в Черкасах шукатиме поліція," Біля зупинки громадського транспорту ""Торгівельний центр"", що по вулиці 30-річчя Перемоги, без жодних документів звели торговий павільйон. МАФ загороджує людям прохід до зупинки, а власник будівлі – досі невідомий. Про це на сесії 30 листопада повідомив депутат-""свободівець"" Антон Ведула, передає кореспондент vikka.ua. ДИВІТЬСЯ: Черкаському чиновнику виписали догану за паркові МАФи з семирічним стажем (ВІДЕО) Нагадаємо, обранець зробив депутатський запит з метою з'ясувати, хто саме з працівників управління інспектування надав дозвіл на встановлення незаконної будівлі та чи буде на цього працівника накладене дисциплінарне стягнення. Його пропозицію підтримали 27 депутатів. Наразі Антон Ведула запропонував звернутися до ГУ НП в Черкаській області, щоб вони знайшли власника павільйону. Запит депутата підтримав 31 обранець. Як повідомляв сайт vikka.ua, у Черкасах шукатимуть власників новобуду й каратимуть чиновників. ","#Черкаси, #Вікка, #Новини, #Маф, #Антон ведула",https://www.vikka.ua/novini/vlasnika-nezakonnogo-mafu-v-cherkasax-shukatime-policiya/
